text;label;relevance
#doityourself #doityourself main goal - people from vulnerable communities have improved their living quality using the potential of solar energy. objectives - 1. awareness for the benefits of solar energy produced by using recycle materials is raised./2. trainees of solar panel vocational training course are increasingly integrated in the labour market./3. elementary schools of administrative unit kashar-tirana has heating during winter season.;Solar PV Energy;1.0
'auditoria financiera y de sistemas relativa al proyecto de apoyo a la cadena de valor de la madera en nicaragua'' 'auditoria financiera y de sistemas relativa al proyecto de apoyo a la cadena de valor de la madera en nicaragua'' servicios de auditoria financiera y de sistemas para el proyecto cavama;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
(e&e)  energy efficient housin (e&e)  energy efficient housin 1. 500 energy efficient houses are constructed and beneficiary communities mobilized to adopt better hygienic life-style in the targeted districts. 2. at least over 1000 persons are trained with the energy-efficient low cost housing technologies. 3. living condition of the targeted beneficiaries is improved through use of energy efficient stoves and solar street lights. focus area: environment & sustainable development.;Renewable energy;1.0
(e&e) one un jp env (e&e) one un jp env focus area: environment & sustainable development.;Environmental Policy Admin;1.0
(getting) out of the woods forestry policy & admin. management (getting) out of the woods;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
(gov) dad-cap dev aid coor environmental policy and admin. mgmt strengthened national capacities to mainstream environment and energy concerns into national development plans and implementation systems.  2. countries develop and use market mechanisms to support environmental management.  3. strengthened capacity of;National Capacities - Enviro Dev Plan Mainstreaming;1.0
02 airbus flood & drought resilience 02 airbus flood & drought resilience building lasting flood and drought resilience in ethiopia and kenya;Resilience;1.0
07.0201/call2005/005tema natuurmonumententen capacity building project on environmental policy and admin. mgmt 07.0201/call2005/005tema natuurmonumententen capacity building project on;Environmental Policy Admin;1.0
10th edf energy programme 10th edf energy programme reference : fed/2009/021-305-10th edf energy programme;Renewable energy;1.0
118/95-evaluation support enviromen.proj,highpedinst,beiramo environmental education/training;Enviro Ed Trainings;1.0
11th edf rip supported interventions in wildlife in horn of africa, eastern africa and southern africa 11th edf rip supported interventions in wildlife in horn of africa, eastern africa and southern africa this cross-regional program supports interventions key wildlife priority areas of the 11th edf: i) strengthened trans-frontier conservation area (tfca) management: and ii) improved law enforcement on wildlife crime.;Wildlife conservation;1.0
150-megawatt burgos wind farm project 150-megawatt burgos wind farm project 150-megawatt burgos wind farm project;Wind power farms;1.0
1997/training progr. on energy energy-relatad education;Renewable energy;1.0
200 mw wind farm project gulf of suez 200 mw wind farm project gulf of suez;Wind power farms;1.0
2004 cards neighbourhood programme environmental policy and admin. mgmt 04ser02/05/006 n.a.p.;Environmental Policy Admin;1.0
2010co0004-microbial diversity in hyper-arid deserts 2010co0004-microbial diversity in hyper-arid deserts 2010co0004-microbial diversity in hyper-arid deserts.convenio entre el csic y el instituto colombiano para el desarrollo de la ciencia y la tecnologia de la republica de colombia francisco jose de caldas -colciencias-.insto. microelectronica barna. imb-cnm;Combat Desertif Convention;1.0
2018 intercoonecta university of costa rica project risk management in coastal areas 2018 intercoonecta university of costa rica project risk management in coastal areas intercoonecta 2018. fundación universidad de costa rica. proyecto gestión de riesgos en zonas costeras de américa latina y el caribe;Marine-Coastal Protected Areas Mgmt. (CMB);1.0
207 education for environ education for environment;Enviro Ed Trainings;1.0
213 iucn-action to conserve bi action to conserve bio-diversity;Biodiv Conserv Prog;1.0
249 air pollution 06-10        249 air pollution 06-08 249 air pollution 06-10;Air Pollution Mitigation;1.0
249 air pollution manag 249 air pollution air pollution management;Air Pollution Mitigation;1.0
25,000 solar roofs for mexico 25,000 solar roofs for mexico the aim of the project is to reduce emissions of greenhouse gases from mexican households by around 11,000 tonnes per year by expanding the use of solar collectors for water heating in the social housing sector. to do this an investment cost subsidy will be made available, managed via the housing fund infonavit s  green mortgage , for the purchase of up to 25,000 solar collectors.;Solar PV Energy;1.0
277 wind power dev 09-11 277 wind power dev 09-11 itp within wind power development to begin 2009, 2010, 2011 with 18   months of program.;Wind power farms;1.0
2nd edition of basic training course in development cooperation and humanitarian action environmental education/training programa de formación y participación de jóvenes universitarios en proyectos cud.;Enviro Ed Trainings;1.0
3-year support to internationa energy policy and admin. management dml iei/support 2nd phase to promote, initiate, strengthen and advance the efficient production and use of energy for sustainable development in developing countries.;Renewable energy;1.0
3830109  natural resources & environmental policy urban and industrial pollution;Air Pollution Mitigation;1.0
3925: implementing napa priori 3925: implementing napa priori resilience of food-production systems and vulnerable communities in 5 states enhanced in the face of climate change through  the implementation of pilot adaptation measures, strengthening institutional and individual capacities to implement climate risk m;Resilience;1.0
3a-southern afr power mrkt apl 1 (fy04) 3a-southern afr power mrkt apl 1 (fy04) the southern african power market project for zambia aims to facilitate the development of an efficient regional power market which will: (i) decelerate the increase of electricity prices in the southern african development community countries through increased competition, (ii) increase industrial competitiveness of the region, (iii) create the conditions for accelerated investment in the power sector, including by the private sector, and (iv) foster regional integration. the project has the following four components: component 1) will support southern african power pool (sapp) coordination center including: an energy management system (ems). component 2) will increase the capacity of the transmission corridor from the democratic republic of congo (drc) to the sapp by: upgrading and rehabilitating the converter and inverter stations on the direct current (dc) transmission link from inga to kolwezi, maintaining the dc transmission line from inga to kolwezi and installing a new communication system on the line, rehabilitating and reinforcing the alternate current (ac) network from kolwezi to karavia substation in the katanga region of the drc (including the addition of reactive compensation equipment), constructing a 220 kv transmission line from fungurume to karavia substation and from karavia to the drc/zambia border complete with the provision of integrated infrastructure services along the line route. (it is important to note that copperbelt energy company (cec) of zambia, a private company, will arrange the financing and construction of the continuation of the new transmission line (45 km) from the drc/zambia border to luano substation near kitwe in zambia), carrying out mitigation of environmental and social impacts, and carrying out environmental studies for the future expansion of the drc power sector. component 3) the pooling of power resources offers unique, value-added advantages. it allows optimum use of available regional resources, enhances environmental protection efforts, facilitates a sustainable development approach, reduces the cost of electricity service to customers, increases the ability to meet potential customers' demand, reduces risk of power shortages and brings new revenue opportunities. component 4) project preparation and management - financing of the project will be coordinated by the bank, with co-financing expected from bilateral donors (usaid, norad). the program has been prepared with the financial support of a grant from japan (phrd grant for an amount of us$617,732). the recipient of the grant was the government of zimbabwe who passed it on to the sapp coordination center.;Renewable energy;1.0
4970365  municipal finance urban and industrial pollution;Air Pollution Mitigation;1.0
4990015  u.s.-asia environmental partnership forestry;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
4ken combating poaching- iwt 4ken combating poaching- iwt the project focuses on wildlife law enforcement through community involvement in two project areas through a highly coordinated approach between wildlife managers law enforcement authorities and wildlife conservancies established by local communities.;Wildlife conservation;1.0
4ken05401 energy assessments 4ken05401 energy assessments focus area: environment & sustainable development. result area: expanding access to environmental and energy services for the poor. special outcome: strengthened capacity of local institutions to manage the environment and expand environment and energy services, especially to the poor;Renewable energy;1.0
4ken05403 gef/sgp ded environmental policy and admin. mgmt strengthened national capacities to mainstream environment and energy concerns into national development plans and implementation systems (cpr).;National Capacities - Enviro Dev Plan Mainstreaming;1.0
5 great forests of mesoamerica: a regional initiative for climate, biodiversity, and people 5 great forests of mesoamerica: a regional initiative for climate, biodiversity, and people co-creation of a new model with a regional multi-actor partnership comprised of governments, civil society, and indigenous peoples that will transform agriculture and food systems, support indigenous conservation solutions and forest-based income streams, protect intact ecosystems, and eliminate illegal cattle ranching in mesoamerica's five forests.;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
5180117  environmental education (educar) environmental  mgt, planning & polic;Enviro Ed Trainings;1.0
5270353  pvo pl 480 title ii support forestry;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
58/01/v milj environmental policy and admin. mgmt;Environmental Policy Admin;1.0
60101. environmental initiatives - general environmental initiatives - general environmental initiatives - general;Environmental Policy Admin;1.0
65/99/v enabl. environm. forestry: environment;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
81/98/h infrastructure energy policy and administrative management : infrastructure;Renewable energy;1.0
9300085  integrated studies and systems forestry;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
9365555  environmental/nat res policy & training environmental  mgt, planning & polic;Environmental Policy Admin;1.0
a cooperative agreement with u.s. energy association (usea) - clean productive environment a cooperative agreement with u.s. energy association (usea) - clean productive environment a cooperative agreement with u.s. energy association (usea);Renewable energy;1.0
a forestation project for coping with desertification and asian dust in bayaannuur soum, mongolia a forestation project for coping with desertification and asian dust in bayaannuur soum, mongolia to promote an extensive reforestation program;Combat Desertif Convention;1.0
a foundation for a more sustainable energy system energy policy and admin. management a foundation for a more sustainable energy system [winrock international];Renewable energy;1.0
a landscape approach to conservation of the critically endangered cross river gorilla a landscape approach to conservation of the critically endangered cross river gorilla the purpose of this collaborative agreement is to ensure the survival of the cross river gorilla by 2020 through support to a jnetwork of core protected areas and corridors across the afi kagwene landscape managed in collaboration between local communities and government.;Wildlife conservation;1.0
a landscape approach to wildlife conservation in northeastern china a landscape approach to wildlife conservation in northeastern china ;Wildlife conservation;1.0
a price on their heads: addressing jaguar trafficking in bolivia a price on their heads: addressing jaguar trafficking in bolivia bolivia is facing the gravest wildlife trade crisis since the 1980s jaguar skin trade. recent demand from asian markets for jaguar teeth has resulted in 192 documented jaguar deaths. iwt is now the largest threat to jaguar populations, yet the government lacks enforcement and communication capacity to address iwt. wcs will work with bolivian authorities to inform the public about iwt's severity, improve the legal framework to combat it, and implement a strategy to strengthen capacities along the enforcement chain.;Wildlife conservation;1.0
a study to understand the pervasive threat of exploitation and trade of indian pangolin and theraphosid spiders and to involve local community in species and habitat conservation through education a study to understand the pervasive threat of exploitation and trade of indian pangolin and theraphosid spiders and to involve local community in spe the genus poecilotheria of the tarantula family theraphosidae has 14 species in the world and seven of these are endemic to india. all species are threatened by illegal harvesting of adult tarantulas for the pet trade and habitat loss. there is currently a lack of information on the extent of these threats and their impacts to the overall population. to fill this gap and address the illegal harvesting of tarantulas for the pet trade in tamil nadu, this two-year grant will support: interviews with local community members in 52 villages in tamil nadu to assess the existing trade and ongoing threats to tarantulas in the western ghats, assessment of the habitat quality and rate of species decline, development of a conservation education program for select local communities (approximately 10,000 people) living in the western ghats to create awareness about the importance of tarantulas and the need for conservation, establishment of a diverse network, including universities and local communities, to secure engagement on tarantula conservation at multiple levels in india, and development of a short video on the threats facing tarantulas and importance of protecting these species.;Wildlife conservation;1.0
a technical review of community based forest management on both customary land and forest reserves (participatory forest management) a technical review of community based forest management on both customary land and forest reserves (participatory forest management) a technical review of community based forest management on both customary land and forest reserves (participatory forest management);Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
abc abc adaptation des communautés burkinabés aux changements climatiques (abc);Climate Adaptation;1.0
abj bigif abj bigif abj balm in gilead foundation for sustainable development;Green Growth Strategies;1.0
abu qir 1300 mw steam power project abu qir 1300 mw steam power project afdb sector: power.  afdb sub sector:  electricity.;Geothermal Explr/Plants;1.0
acadã‰mie environnement format. economie & politique environ. ;Environmental Policy Admin;1.0
accelerate renewable energy transition accelerate renewable energy transition activity in support of indonesia's ndcs, the sdgs and the related renewable energy targets;Renewable energy;1.0
accelerating sustainable private investment in renewable energy project accelerating sustainable private investment in renewable energy project ;Renewable energy;1.0
accerlerating clean energy access to reduce inequality - access accerlerating clean energy access to reduce inequality - access localize implementation of sdgs no.7 affordable & clean energy through provision of access to renewable-based electricity.;Renewable energy;1.0
acces aux services energetique acces aux services energetique promotion de l?acces aux services energetiques et aux technologies alternatives pour lutter contre la pauvrete et ameliorer les conditions de vie des communautes rurales  notamment les femmes et les jeunes.;Renewable energy;1.0
acces energie acces energie a travers ses programmes énergie, entrepreneurs du monde vise à rendre accessibles à un plus grand nombre de familles des produits économes en énergie afin d'améliorer leurs conditions de vie et de préserver l'environnement, tout en développant l'économie locale. -acces energie;Renewable energy;1.0
access (advancing cso's capacities to enhance sustainability solutions) access (advancing cso's capacities to enhance sustainability solutions) the action seeks to ensure that marginalized forest communities affected by land conflicts and the depletion of the natural resources which they depend upon are able to take action and to raise their voice to recover their rights and legally enforce the protection of their forest, and hold the government and private companies accountable for their actions. the proposed action aims at achieving a gender equity-based secured and sustainable community-based forest and natural resources governance in mondulkiri province with linkages and upscaling to the national level.;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
access solar one access solar one access egypt solar one jsc;Solar PV Energy;1.0
access solar one access solar one access egypt solar one jsc-financement ferme solaire;Solar PV Energy;1.0
access to clean energy access to clean energy demonstrate few renewable business models and documenting best case studies of renewable interventions in india.;Renewable energy;1.0
access to energy for rural communities in togo project access to energy for rural communities in togo project instrument: loan - sector: energy;Renewable energy;1.0
access to renewable energy in the off-grid areas of burundi as a driving force for socio-economic development access to renewable energy in the off-grid areas of burundi as a driving force for socio-economic development the initiative increases access to energy to contribute to the resilience and socio-economic development of the rural areas of the provinces of bujumbura rural, ruyigi and rutana in burundi, the renewable energy (re) market is strengthened by acting on tw;Renewable energy;1.0
access to sustainable energy s access to sustainable energy s output 1: pro-poor interventions for ecosystem management and energy security piloted,output 2: policies and institutional arrangements improved for the mainstreaming of poverty-environment-energy nexus through investment in ecosystem services and use of ppp modalities for renewable energy. focus area: environment & sustainable development. result area: mainstreaming environment and energy. special outcome: strengthened national capacities to mainstream environment and energy concerns into national development plans and implementation systems;Renewable energy;1.0
accompagnement fexte ligne de crédit à kasikorn bank - efficacité énergétique dans les bâtiments / faxte - efficacite energetique accompagnement fexte ligne de crédit à kasikorn bank - efficacité énergétique dans les bâtiments / faxte - efficacite energetique accompagnement fexte ligne de crédit à kasikorn bank - efficacité énergétique dans les bâtiments;Renewable energy;1.0
accord-cadre gs 2022-2025 accord-cadre gs 2022-2025 renforcer les compétences du personnel du cifop en matière d'environnement;Environmental Policy Admin;1.0
accord-cadre otm 2005-2009 forestry development;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
accord-cadre sos-astm 2014-2018 accord-cadre sos-astm 2014-2018 programme d'appui aux activités agro-sylvo-pastorales et de protection de l'environnement;Environmental Policy Admin;1.0
accountable grant ag4720: facilitate legal and sustainable forest management in ghana public finance management facilitate reforms to address the governance, policy and market failures that cause and sustain illegal logging and associated trade;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
accountable grant ag5065: accelerating reforms in forest tenure and governance to meet priority global challenges : strategic analyses, narratives and networks to advance local rights and development accelerating reforms in forest tenure and governance to meet priority global challenges accelerate forest tenure, policy and market reforms to promote poverty alleviation, reduce social exclusion and civil conflict and reduce deforestation;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
accoutable grant ag5255 forest footprint disclosure accoutable grant ag5255 forest footprint disclosure to improve tranparency of  commodity market and reduce their forest footprint;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
acde / 6147 public access to basic photovoltaic services in rural communities acde / 6147 public access to basic photovoltaic services in rural communities acde/6147 acceso a servicios públicos basicos de energía fotovoltaica en comunidades rurales;Solar PV Energy;1.0
achat machines de forage geothermiques achat machines de forage geothermiques le projet vise :- la réalisation sous coordination du ministère de l'energie d'un plan directeur national (master plan) de l'énergie permettant une meilleure identification du potentiel d'énergies renouvelables et la planification de son développement,- un appui au développement de la gdc avec l'achat de deux machines de forage et ses équipements associés.;Geothermal Explr/Plants;1.0
achieving sustainability for rxiin tnamet achieving sustainability for rxiin tnamet achieving sustainability for rxiin tnamet;Green Growth Strategies;1.0
achèvement des prestations d'assistance technique internationale pour la surveillance et contrôle des travaux résiduels des infrastructures du peat 2 achèvement des prestations d'assistance technique internationale pour la surveillance et contrôle des travaux résiduels des infrastructures du peat 2 poursuite des services de surveillance et contrôle des travaux du peat 2;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
aciar - developing multi-scale climate change adaptation strategies for farming communities aciar - developing multi-scale climate change adaptation strategies for farming communities develop multi-scale adaptation strategies and demonstrate processes that enable policy makers to deliver more effective climate adaptation programs relevant to farmer livelihood and food security.;Climate Adaptation;1.0
aciar-improving & maintaining productivity of eucalypt plantations improving & maintaining productivity of eucalyptus plantations ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
acquisition of elephant capture equipment-south africa acquisition of elephant capture equipment kwazulu-natal nature conservation service, $137,321 + $232,192--support to equip kznncs field teams and enable them to perform important elephant translocations as part of their overall wildlife management strategy in the republic of south africa.          afe-0090  98210-1-g832  counterpart funding = $232192;Wildlife conservation;1.0
action for improving  climate change resilience of pastoral communities in northen tanzania action for improving  climate change resilience of pastoral communities in northen tanzania the project aims at improving the grazing land managment, creating new sources of income, enhancing the role of local institution in  managing territories;Resilience;1.0
action plan for the environment action plan for the environment description is missing;Environmental Policy Admin;1.0
action to the acclimatisation on the climate change in nine provinces of cambodia action to the acclimatisation on the climate change in nine provinces of cambodia the aim of the project is to enable poor rural communities to sustainably secure their livelihoods in the long term in the face of the negative impacts of climate change.;Climate Adaptation;1.0
actis energy 3c sub-feeder lp actis energy 3c sub-feeder lp actis energy 3c sub-feeder lp;Renewable energy;1.0
adapation au climat adapation au climat devoutcome1, output1.4 - le projet vise la réduction des vulnérabilités liées au climat auxquelles sont confrontés les habitants des régions montagneuses. il s'agit d'appuyer les commnautés dans la gestion de l'eau et l'introduction de l'agro-pastoralisme;Climate Adaptation;1.0
adaptación cambio climático ii environmental policy and admin. mgmt strengthened national capacities to mainstream environment and energy concerns into national development plans and implementation systems (cpr).;National Capacities - Enviro Dev Plan Mainstreaming;1.0
adaptation of public investment to climate change adaptation of public investment to climate change a high adaptation effect can be achieved by the insertion of adaptation criteria into the awarding of public contracts for investments as well as the effective support in the implementation of these rules. the co-operation with the ministry for economy and finance guarantees a cross-sectoral implementation and facilitates also the sensitisation of private-sector actors.;Climate Adaptation;1.0
adaptation program and financing mechanisms for the pilot program for climate re adaptation program and financing mechanisms for the pilot program for climate re the overall objective of the project is to increase jamaica's resilience to climate change, through enhancing adaptive capacity across priority sectors.;Resilience;1.0
adaptation to climate change in jordan adaptation to climate change in jordan the main objective of the action is to contribute to the mitigation of climate change risks. the aim is to reduce the vulnerability of farming communities in the jordan valley to the impact of climate change through improved supply of irrigation water by increasing the use of reclaimed water in the farms and thus saving valuable freshwater resources that can be used as drinking water in urban areas.     the specific objectives of the action are:  -to reduce freshwater consumption for irrigation;Climate Adaptation;1.0
adaptation to the consequences of climate change in the himalaya and hindukush adaptation to the consequences of climate change in the himalaya and hindukush adaptation to the consequences of climate change in the himalaya and hindukush;Climate Adaptation;1.0
