Topic,Count,Name,CustomName,Representation,Zephyr,Representative_Docs
9,7261,9_palestinian_palestine_jerusalem_palestina,Palestinian Dev/Conflict/Rights (WB/GZA),"['palestinian', 'palestine', 'jerusalem', 'palestina', 'gaza', 'israeli', 'israel', 'palestinians', 'territories', 'west']","['\nPalestinian Dev/Conflict/Rights (WB/GZA)', '', '', '', '', '', '', '', '', '']","['scenario planning for the israeli-palestinian conflict scenario planning for the israeli-palestinian conflict ', 'ecf - hebron ecf - hebron promotion of civil liberties for the palestinian population n hebron', 'palestinian centre for human r palestinian centre for human rights ']"
10,9273,10_africa_african_tanzania_afrique,"Africa dev proj: TZ, GHA, S A, E Ast, Bud Sup","['africa', 'african', 'tanzania', 'afrique', 'ghana', 'research', 'regional', 'zimbabwe', 'budget', 'áfrica']","['\nAfrica dev proj: TZ, GHA, S A, E Ast, Bud Sup', '', '', '', '', '', '', '', '', '']","['sarec årsbok                   c research africa licens sarec årsbok                   c research africa licens ', 'cogen for africa cogen for africa ', 'startsouth - africa startsouth - africa ']"
11,7338,11_energy_renewable_efficiency_energies,Renewable Energy & EE Prog. (Efficiency),"['energy', 'renewable', 'efficiency', 'energies', 'energie', 'buildings', 'clean', 'énergie', 'efficient', 'renouvelables']","['\nRenewable Energy & EE Prog. (Efficiency)', '', '', '', '', '', '', '', '', '']","['renewable energy and energy eficiency renewable energy and energy eficiency framework conditions to promote the use of renewable energies and energy efficiency are established', 'renewable energy and energy efficiency programme electrical transmission/distribution renewable energy and energy efficiency programme', 'grant to the renewable energy and energy efficiency partnership energy policy and admin. management renewable energy and energy efficiency partnership']"
12,6889,12_justice_judicial_legal_court,Legal Judicial Dev't (Access Justice),"['justice', 'judicial', 'legal', 'court', 'judiciaire', 'rule', 'law', 'criminal', 'judiciary', 'reform']","[""\nLegal Judicial Dev't (Access Justice)"", '', '', '', '', '', '', '', '', '']","['5190376  judicial reform ii legal and judicial development ', 'justice - other operations legal and judicial development justice - other operations', '5320175  sustainable justice reform legal and judicial development ']"
13,7582,13_vocational_training_professionnelle_formation,Vocational training,"['vocational', 'training', 'professionnelle', 'formation', 'technical', 'tvet', 'education', 'advanced', 'managerial', 'tech']","['\nVocational training labels:\n1. Vocational Ed. & Training\n2. Technical VET\n3. Prof. Development & Training\n4. Skills Formation\n5. Workforce Capacity Building\n6. V', '', '', '', '', '', '', '', '', '']","['.kmu-orientierte berufliche qualifizierung in ..lateinamerika... vocational training ', 'personalentwicklung in der schulischen und betrieblichen berufsausbildung vocational training ', 'mitarbeiterfortb.u.kapazitätserweiterung in gemeinnützigen institutionen d.entwicklungsförderng vocational training mitarbeiterfortb.u.kapazitätserweiterung in gemeinnützigen institutionen d.entwicklungsförderng']"
14,6707,14_disabilities_disabled_disability_persons,Disability rights advocacy,"['disabilities', 'disabled', 'disability', 'persons', 'people', 'handicap', 'with', 'inclusion', 'personnes', 'children']","['\nDisability rights advocacy', '', '', '', '', '', '', '', '', '']","['inclusion of persons with disabilities inclusion of persons with disabilities promoting the inclusion of persons with disabilities.', ""strategic funding to the united nations partnership to promote the rights of persons with disabilities (unprpd) strategic funding to the united nations partnership to promote the rights of persons with disabilities (unprpd) a global partnership for action on disability-inclusive development, led by people with disabilities. this project will strengthen the voice of disabled people's organisations at regional, national and global level to advocate for changes in policies, legislations and programmes to ensure they are inclusive of people with disabilities. it will also establish and strengthen mechanisms within the united nations to deliver on the global goals for people with disabilities, critical to achieving the promise to leave no one behind."", 'protecting the rights of persons with disabilities - social services protecting the rights of persons with disabilities - social services the protecting the rights of persons with disabilities program aims at protecting the rights of persons with disabilities in binh phuoc and thua thien hue. the specific objectives of the project are:?increasing local advocacy for disability rights in two provinces through strengthening disabled people organizations and parent associations of children with disabilities,?increasing local capacity to protect the rights of persons with disabilities,?improving provincial disability accessibility plans.']"
15,6579,15_fisheries_fishing_fish_fishery,"Fisheries Dev't (fishing, aquac, sustain)","['fisheries', 'fishing', 'fish', 'fishery', 'aquaculture', 'pêche', 'marine', 'pesca', 'tuna', 'artisanal']","[""\nFisheries Dev't (fishing, aquac, sustain)"", '', '', '', '', '', '', '', '', '']","[' fisheries project sadcc ', 'undip fisheries project fisheries technology prjct fishery-related education ', 'fisheries orgs./swedmar fishery development : fisheries orgs./swedmar ']"
16,6351,16_media_journalism_journalists_freedom,Media Freedom Journalism,"['media', 'journalism', 'journalists', 'freedom', 'independent', 'investigative', 'press', 'news', 'free', 'information']","['\nMedia Freedom Journalism', '', '', '', '', '', '', '', '', '']","['media: promotion media: promotion media: promotion', 'ta to the nao for national media development ta to the nao for national media development ', 'zamcom media training zamcom media training ']"
17,7515,17_awareness_promotion_development_sensibilización,Promotion of Dev Awareness,"['awareness', 'promotion', 'development', 'sensibilización', 'desarrollo', 'allocable', 'nd', 'sensibilisation', 'raising', 'el']","['\nPromotion of Dev Awareness', '', '', '', '', '', '', '', '', '']","['opc p2000-s promotion of development awareness ', ' promotion of development awareness weltfrühstück', 'infocus (valuing promotion of development awareness ']"
18,7050,18_bourses_etudes_ii_secondment,"Study scholarships II-III, internships, NGO subsidies","['bourses', 'etudes', 'ii', 'secondment', 'bourse', 'iii', 'gl', 'jpo', 'mr', 'paf']","['\nStudy scholarships II-III, internships, NGO subsidies', '', '', '', '', '', '', '', '', '']","[""bourse d'etudes ibrahima bourse d'etudes ibrahima "", ""bourses d'etudes ong: subsides aux o bourses d'etudes ong "", ""bourses d'etudes bourses d'etudes ""]"
19,6228,19_microfinance_micro_microenterprise_credit,Microfinance Projects,"['microfinance', 'micro', 'microenterprise', 'credit', 'microcredit', 'spanish', 'contry', 'finance', 'projects', 'financial']","['\nMicrofinance Projects', '', '', '', '', '', '', '', '', '']","['regional microfinance creditline regional microfinance creditline regional microfinance creditline', 'agrif - huimin microfinance agrif - huimin microfinance ', 'ta krk microfinance ta krk microfinance ']"
20,9074,20_rural_development_integrated_rurales,Integrated Rural Dev,"['rural', 'development', 'integrated', 'rurales', 'entwicklung', 'rurale', 'développement', 'der', 'ländliche', 'ländlichen']","['\nIntegrated Rural Dev (10 keywords)', '', '', '', '', '', '', '', '', '']","['leistungen nach dem entwicklungshelfergesetz rural development ', ' integr. rural development ', 'coprod. doc. kindsoldaten ug b rural development ']"
21,5735,21_malaria_control_nets_insecticide,Malaria Control-Elimination,"['malaria', 'control', 'nets', 'insecticide', 'elimination', 'treatment', 'vector', 'paludisme', 'treated', 'rssh']","['\nMalaria Control-Elimination', '', '', '', '', '', '', '', '', '']","['cvca278malaria12262 cvca278malaria12262 malaria', 'ac635malaria12262 ac635malaria12262 malaria', 'h005 - malaria malaria ']"
22,5619,22_covid_19_pandemic_response,COVID-19 Humanitarian Aid,"['covid', '19', 'pandemic', 'response', 'coronavirus', 'covid19', 'spread', 'emergency', 'crisis', 'impact']","['\nCOVID-19 Humanitarian Aid', '', '', '', '', '', '', '', '', '']","['covid-19 humanitarian assistanceunhcr covid-19 humanitarian assistanceunhcr covid-19 humanitarian assistanceunhcr', 'cepi covid-19 cepi covid-19 contributiono to cepi covid-19', 'qei dib covid-19 gyanshala qei dib covid-19 gyanshala programme: covid-19 respons, covid-19 respons: education. description: qei dib covid-19 gyanshala']"
23,7066,23_civil_society_civile_participation,Strengthening Civil Society,"['civil', 'society', 'civile', 'participation', 'strengthening', 'société', 'civic', 'democratic', 'organizations', 'csos']","['\nStrengthening Civil Society', '', '', '', '', '', '', '', '', '']","['- arouse strengthening civil society ', '- steunpunkt strengthening civil society ', '- ceder ayllu strengthening civil society ']"
24,5281,24_tourism_turismo_tourisme_tourist,Tourism Sustainability Policy,"['tourism', 'turismo', 'tourisme', 'tourist', 'hotel', 'ecotourism', 'sustainable', 'turístico', 'destination', 'eco']","['\nTourism Sustainability Policy', '', '', '', '', '', '', '', '', '']","['tourism tourism sector development in salta province ', 'sustainable tourism sustainable tourism sustainable tourism', 'national sustainable tourism program national sustainable tourism program national sustainable tourism program']"
25,5380,25_reprod_reproductive_family_components,Reproductive Health 100%,"['reprod', 'reproductive', 'family', 'components', 'rh', 'planning', 'aids', '100', 'basic', 'hiv']","['\nReproductive Health 100%', '', '', '', '', '', '', '', '', '']","['support to cawtar support to cawtar support to cawtar ///// components = family planning: 0% , reproductive health: 100% , hiv/aids: 0% , basic research in reprod.health: 0%', 'dirrect.informo.educat.censibilsat. dirrect.informo.educat.censibilsat. dirrect.informo.educat.censibilsat. ///// components = family planning: 0% , reproductive health: 100% , hiv/aids: 0% , basic research in reprod.health: 0%', 'operationnalisation de la dpp operationnalisation de la dpp operationnalisation de la dpp ///// components = family planning: 0% , reproductive health: 0% , hiv/aids: 0% , basic research in reprod.health: 100%']"
26,5762,26_environmental_mgmt_admin_environment,Environmental Policy Admin,"['environmental', 'mgmt', 'admin', 'environment', 'policy', 'environnement', 'environnementale', 'env', 'management', 'ambiental']","['\nEnvironmental Policy Admin', '', '', '', '', '', '', '', '', '']","['cou -  srirdp environmental policy and admin. mgmt ', 'environment management and sus environmental policy and admin. mgmt ', 'environmental assessment in libanon environmental policy and admin. mgmt ']"
27,5211,27_waste_solid_recycling_déchets,Solid Waste Mgmt & Disposal,"['waste', 'solid', 'recycling', 'déchets', 'disposal', 'management', 'residuos', 'collection', 'landfill', 'municipal']","['\nSolid Waste Mgmt & Disposal', '', '', '', '', '', '', '', '', '']","['solid waste management         nova varos solid waste management         nova varos ', 'chn haikou solid waste waste management - china haikou solid waste ', 'improvement of waste water disposal and solid waste management improvement of waste water disposal and solid waste management financing of the improvement of waste water and solid waste management in provincial towns']"
28,4961,28_audit_contract_financial_financier,Audit Financials Contracts,"['audit', 'contract', 'financial', 'financier', 'contrat', 'dummy', 'audits', 'payment', 'late', 'fed']","['\nAudit Financials Contracts', '', '', '', '', '', '', '', '', '']","['iap project audit iap project audit financial audit of iap projects that have sent sida the financial     compleation report', 'financial audit slu financial audit slu audit referred to internal audit', 'audit fwc 2006 / moore stephens / financial audit cbempc audit fwc 2006 / moore stephens / financial audit cbempc reference : audit fwc 2006 / moore stephens / financial audit cbempc']"
29,5344,29_biodiversity_conservation_diversity_biodiversité,Biodiv Conserv Prog,"['biodiversity', 'conservation', 'diversity', 'biodiversité', 'bio', 'park', 'protected', 'ecosystem', 'biological', 'natural']","['\nBiodiv Conserv Prog', '', '', '', '', '', '', '', '', '']","['community biodiversity development and conservation program community biodiversity development and conservation program ', 'parana biodiversity project parana biodiversity project ', 'msc biodiversity cbm bio-diversity msc biodiversity cbm']"
30,4488,30_mine_clearance_mines_action,Mine clearance Humanitarian Action,"['mine', 'clearance', 'mines', 'action', 'explosive', 'demining', 'landmines', 'landmine', 'uxo', 'erw']","['\nMine clearance Humanitarian Action', '', '', '', '', '', '', '', '', '']","['humanitarian mine action humanitarian mine action humanitarian mine action - mine clearance program [through halo trust]', ' land mine clearance humanitarian mine action - mine victims assistance', ' land mine clearance humanitarian mine action - james madison mine action information center']"
31,5943,31_violence_gender_violencia_against,Gender-based Violence Prevention/Response,"['violence', 'gender', 'violencia', 'against', 'sexual', 'women', 'based', 'mujeres', 'gbv', 'violences']","['\nGender-based Violence Prevention/Response', '', '', '', '', '', '', '', '', '']","['gender based violence (gbv) prevention policies gender based violence (gbv) prevention policies gender-based violence', 'response to gender based violence response to gender based violence gender-based violence response', 'program on gender based violence program on gender based violence programa contra la violencia de género']"
32,6268,32_school_construction_classrooms_primary,SchoolConstructionProjects,"['school', 'construction', 'classrooms', 'primary', 'secondary', 'village', 'classroom', 'township', 'elementary', 'building']","['\nSchoolConstructionProjects', '', '', '', '', '', '', '', '', '']","['project for construction of a primary school at tamjilt project for construction of a primary school at tamjilt construction of school', ""project for the construction of primary school no 5844 temity marane'y project for the construction of primary school no 5844 temity marane'y construction of 4 classrooms and 2 lavatories at an elementary school in repatriacion city of caaguazu province."", 'project for the construction of primary school no 299 asuncion escalada project for the construction of primary school no 299 asuncion escalada construction of 3 classrooms and 1 lavatory at an elementary school in capitan miranda city of itapua province.']"
33,5005,33_balkans_eu_ipa_bosnia,Cross Border IPA Balkans Bosnia Herzegovina,"['balkans', 'eu', 'ipa', 'bosnia', 'herzegovina', 'serbia', 'cross', 'border', 'ukraine', 'albania']","['\nCross Border IPA Balkans Bosnia Herzegovina', '', '', '', '', '', '', '', '', '']","['cross border programme croatia   bosnia and herzegovina under the ipa   cross border co operation component for the year 2013 cross border programme croatia   bosnia and herzegovina under the ipa   cross border co operation component for the year 2013 cross-border programme croatia - bosnia and herzegovina under the ipa - cross-border co-operation component for the year 2013', 'cross-border programme bosnia and herzegovina - montenegro under the ipa-cross-border co-operation component for 2009 (montenegro part). cross-border programme bosnia and herzegovina - montenegro under the ipa-cross-border co-operation component for 2009 (montenegro part). cross-border programme bosnia and herzegovina - montenegro under the ipa-cross-border co-operation component for 2009 (montenegro part). the part of bosnia and herzegovina is encoded in cris under the decision n° 2009/021-143.', 'cross-border programme between the republic of croatia and bosnia and herzegovina under the ipa-cross-border co-operation component for the year 2007 cross-border programme between the republic of croatia and bosnia and herzegovina under the ipa-cross-border co-operation component for the year 2007 cross-border programme between the republic of croatia and bosnia and herzegovina under the ipa-cross-border co-operation component for the year 2007']"
34,5760,34_urban_cities_municipal_city,"Urban Dev: Cities, Infra, Smart","['urban', 'cities', 'municipal', 'city', 'infrastructure', 'urbain', 'development', 'smart', 'towns', 'urbaine']","['\nUrban Dev: Cities, Infra, Smart', '', '', '', '', '', '', '', '', '']","['urban development, surabaya urban development, surabaya ', ' urban development, luoyang ', ' urban development, tetouan ']"
35,7141,35_endowment_democracy_grant_national,"Endowment Democracy Grants: Organizing, NGOs, Civic","['endowment', 'democracy', 'grant', 'national', 'will', 'organization', 'unspecified', 'organize', 'democratic', 'activists']","['\nEndowment Democracy Grants: Organizing, NGOs, Civic', '', '', '', '', '', '', '', '', '']","['national endowment for democracy grant to association for civic society and democracy for freedom of information. national endowment for democracy grant to association for civic society and democracy for freedom of information. [project description withheld.]', 'national endowment for democracy grant to national democracy institute national endowment for democracy grant to national democracy institute program management', 'national endowment for democracy grant to national democratic institute national endowment for democracy grant to national democratic institute program development']"
36,4942,36_colombia_rights_human_derechos,Colombia HR Protection,"['colombia', 'rights', 'human', 'derechos', 'humanos', 'guatemala', 'peace', 'colombian', 'paz', 'victims']","['\nColombia HR Protection', '', '', '', '', '', '', '', '', '']","['support to the iachr on human rights in its work in colombia human rights strengthen iachr capacity to follow up on human rights aspects of the demobilization process and the general situation in colombia', 'accompaniment and international observation for the comprehensive and intersectional protection of human rights defenders in colombia. accompaniment and international observation for the comprehensive and intersectional protection of human rights defenders in colombia. título completo del proyecto: acompañamiento y observación internacional para la protección integral e interseccional de personas defensores de derechos humanos en colombia. :: colombia, actualmente, está sufriendo un deterioro de la situación de los derechos humanos, tal y como han manifestado las organizaciones nacionales e internacionales, y organismos multilaterales como naciones unidas y el sistema interamericano de derechos humanos, entre otros. esta situación se observa agravada debido a la emergencia por covid19, ya que tanto el virus mismo, como las medidas de contención contempladas tienen un impacto aún más devastador para sus mayorías desfavorecidas (comunidades étnicoterritoriales y de las personas, organizaciones y comunidades que defienden derechos humanos, así como los riesgos diferenciales de mujeres, niños y niñas). ante esta situación, desde pbi colombia se busca proteger el espacio de acción de las personas defensoras de derechos humanos, que sufren amenazas y agresiones porsu trabajo a favor de los derechos humanos, la justicia social y la paz en colombia. concretamente, en 2021 pbi colombia brinda protección a 12 organizaciones, 3 personas defensoras y 1 comunidad en resistencia.el modelo de protección que pbi colombia implementa es un modelo integral basado en 4 ejes de trabajo complementarios: 1) el acompañamiento físico y observación internacional a las personas y procesos acompañados para generar espacios seguros de trabajo, 2) el trabajo de interlocución con entidades civiles y militares colombianas a nivel nacional y regional para trasmitirles las preocupaciones sobre la situación de nuestros acompañados y acompañadas, e interlocución con actores aliados y de la red de apoyo en washington dc, europa y colombia, para apoyar las peticiones de protección a las personas y comunidades acompañadas, y generar presión internacional con el objetivo de lograr el pleno respeto de a los derechoshumanos, 3) la producción y difusión de materiales de comunicación para visibilizar e informar de los riesgos a los que se enfrentan las personas defensoras de derechos humanos, y 4) la reconstrucción del tejido social através de la promoción y facilitación de espacios de encuentro y construcción colectiva de la sociedad civil organizada, basado en un enfoque de protección integral que incluye la seguridad (física y digital), y el apoyo psicosocial. en el contexto actual de la emergencia por covid19, los ejes de protección de pbi que requieren de movilidad y contacto físico se han visto afectados. sin embargo, y con la finalidad de seguir protegiendo a las organizaciones, personas defensoras y comunidades acompañadas (odcs), desde pbi colombia se han implementado estrategias adaptadas a la virtualidad.en el contexto actual, pbi colombia a través del plan estratégico vigente ha priorizado las organizaciones que trabajan en las siguientes temáticas: 1) acceso y uso de la tierra y territorio, 2) empresas, ddhh y medioambiente, 3) lucha contra', 'human rights in colombia human rights in colombia proyecto de sensibilización de la sociedad catalana sobre los derechos humanos en colombia.']"
